
28.559547, 58.184177, 28.422102
28.588921, 58.573280, 28.370935
28.618294, 57.996487, 29.445400
28.644997, 58.175022, 30.084961
28.674377, 58.158237, 27.577883
28.661026, 58.243687, 28.473265
28.687729, 58.193333, 28.805840
28.717102, 58.263523, 27.987200
28.703751, 58.669411, 29.189575
28.743805, 58.432899, 28.780256
28.730453, 58.266575, 28.473265
28.773178, 58.295567, 29.138411
28.799881, 58.266575, 29.087246
28.786530, 58.330662, 28.933752
28.799881, 58.464943, 28.677927
29.082932, 59.800106, 49.195049
29.082932, 59.822994, 34.996792
29.066910, 59.896236, 29.726809
29.082932, 59.974064, 28.447683
29.082932, 60.030521, 28.319773
29.109634, 60.035099, 29.343071
