temperature, humidity, moisture 
28.305862, 57.781338, 64.391029
28.319221, 57.167923, 56.869789
28.292511, 57.351036, 57.330273
28.292511, 57.296104, 57.074444
28.292511, 57.328148, 56.562801
28.279160, 57.315941, 57.381435
28.279160, 57.415123, 56.869789
28.305862, 57.494469, 57.458187
28.292511, 57.512779, 56.153477
28.279160, 57.524986, 57.227940
28.279160, 57.534142, 67.998154
28.279160, 57.622646, 57.841915
28.292511, 57.579918, 57.739590
28.263138, 57.630276, 56.690712
28.249786, 57.586021, 57.074444
28.249786, 57.265587, 57.176777
28.263138, 57.421227, 57.662838
28.263138, 57.456322, 57.023281
28.263138, 57.508202, 57.586098
28.263138, 57.553978, 55.692993
28.263138, 57.521935, 57.407021
28.236435, 57.549400, 56.255810
28.263138, 57.575340, 57.611679
28.292511, 57.593651, 54.004551
28.249786, 57.627224, 56.793037
28.236435, 57.636379, 56.230225
28.263138, 57.640957, 56.869789
28.249786, 57.662319, 56.972118
28.236435, 57.735561, 56.869789
28.223083, 57.767605, 57.739590
28.223083, 57.723354, 56.972118
28.207062, 57.686733, 57.355854
28.223083, 57.767605, 56.946529
28.223083, 57.755398, 57.432598
