temperature, humidity, moisture 

25.835815, 63.375294, 63.981709
25.835815, 63.233387, 56.639545
25.905243, 63.234913, 56.025566
25.934616, 63.056381, 55.360416
25.947968, 62.977036, 57.176777
25.990692, 62.800034, 56.179058
26.004044, 62.853439, 56.460468
26.033417, 63.022812, 56.486050
26.033417, 62.624550, 55.923237
26.060120, 62.514687, 56.562801
26.076141, 62.496376, 55.820900
26.089493, 62.951096, 55.718575
26.132217, 62.725266, 57.637257
26.132217, 62.241547, 57.125610
26.145569, 62.368202, 56.179058
26.161591, 62.789352, 55.948818
26.204315, 63.453114, 56.486050
26.217667, 63.054855, 52.955669
26.231018, 62.523842, 56.051144
26.260391, 62.314796, 56.383720
26.273750, 62.688637, 57.279106
26.289772, 63.242542, 55.283672
26.303123, 62.772568, 57.279106
26.303123, 62.693214, 55.923237
26.345848, 62.667274, 57.765171
26.372551, 62.415504, 56.716293
26.359200, 63.001450, 56.716293
26.372551, 61.823452, 55.820900
26.372551, 62.323952, 57.509346
26.385902, 62.317848, 56.767452
26.401924, 61.887539, 57.611679
26.401924, 62.001984, 56.920952
26.428627, 62.592506, 57.816338
26.458000, 62.227814, 57.407021
26.484703, 62.775620, 57.790752
26.484703, 62.200348, 56.818623
26.471352, 62.127106, 56.537212
26.484703, 62.314796, 54.695278
26.498055, 62.102692, 56.690712
26.471352, 61.573208, 55.334843
26.428627, 61.596096, 56.818623
26.359200, 61.655605, 56.665127
26.372551, 62.941940, 64.595688
26.415276, 62.107269, 55.488335
26.401924, 61.683071, 57.611679
26.458000, 61.745632, 56.639545
26.441978, 61.916534, 57.074444
26.441978, 62.011139, 56.767452
26.441978, 62.267487, 56.127892
26.441978, 61.782253, 56.690712
26.458000, 62.484169, 55.999981
26.484703, 61.431293, 57.202354
26.484703, 61.864651, 55.744160
26.484703, 61.852444, 57.227940
26.484703, 61.741055, 57.100029
26.514076, 61.754787, 56.204643
26.471352, 61.512165, 57.202354
26.471352, 61.727322, 55.820900
26.527428, 61.686123, 55.692993
26.514076, 61.692226, 56.665127
26.498055, 61.434345, 55.897652
26.498055, 61.884487, 56.844204
26.514076, 61.417561, 56.486050
26.498055, 61.536587, 56.665127
26.527428, 61.614407, 55.386005
26.540779, 61.658657, 55.872074
26.556801, 62.153046, 55.718575
26.514076, 61.887539, 55.692993
26.514076, 62.163727, 56.895367
26.556801, 62.267487, 55.897652
26.556801, 61.516743, 56.946529
26.556801, 62.337685, 55.897652
26.612885, 62.841232, 55.923237
26.596855, 62.282745, 55.462749
26.596855, 62.121002, 57.688423
26.612885, 62.964828, 56.588379
26.596855, 62.017242, 55.386005
26.583504, 62.044708, 56.204643
26.596855, 62.601662, 56.434883
26.583504, 61.654079, 55.232506
26.612885, 61.988251, 56.358135
26.626236, 61.907375, 55.692993
26.612885, 61.966888, 57.151196
26.626236, 61.641872, 56.818623
26.626236, 61.673916, 55.411583
26.570152, 61.722744, 56.767452
26.570152, 61.837185, 56.383720
26.570152, 61.701382, 57.560513
26.596855, 61.852444, 55.948818
26.583504, 61.777676, 56.818623
26.612885, 61.824978, 56.102318
26.596855, 61.976044, 56.383720
26.626236, 62.021820, 56.383720
26.596855, 61.944000, 56.716293
26.596855, 61.976044, 56.051144
26.612885, 62.090485, 56.665127
26.596855, 61.976044, 56.383720
26.612885, 61.866177, 54.055714
26.583504, 62.127106, 56.946529
26.556801, 62.163727, 56.972118
26.583504, 62.157623, 54.592945
26.596855, 62.262909, 57.560513
26.612885, 62.995346, 56.639545
26.626236, 62.523842, 56.051144
26.596855, 62.415504, 56.716293
26.596855, 62.386513, 56.051144
26.612885, 62.359047, 56.716293
26.596855, 62.468910, 56.997696
26.583504, 62.578773, 57.534927
26.596855, 62.630653, 55.590664
26.570152, 62.616920, 57.202354
26.583504, 62.793930, 55.667408
26.596855, 62.816818, 56.793037
26.556801, 62.839706, 57.586098
26.583504, 62.822922, 56.383720
26.583504, 62.844284, 57.125610
26.556801, 62.697800, 55.820900
26.612885, 62.812241, 55.718575
26.626236, 63.356983, 54.592945
26.570152, 62.903793, 56.409302
26.583504, 63.082321, 56.358135
26.583504, 63.196766, 55.872074
26.626236, 63.120472, 57.509346
26.570152, 62.790878, 57.048862
26.556801, 62.543678, 56.895367
26.540779, 62.703903, 56.332554
26.556801, 62.603188, 56.767452
26.527428, 62.661171, 53.185917
26.527428, 62.661171, 57.304688
26.514076, 62.731369, 56.102318
26.527428, 62.845810, 55.513916
26.527428, 62.681007, 56.767452
26.527428, 62.569618, 56.179058
26.556801, 62.511635, 56.588379
26.514076, 62.246124, 56.844204
26.527428, 62.465858, 56.690712
26.527428, 62.207977, 56.639545
26.540779, 62.221710, 63.572388
26.527428, 62.116425, 56.818623
26.556801, 62.172882, 55.386005
26.540779, 61.965363, 56.179058
26.583504, 61.892117, 55.539497
26.570152, 61.774624, 57.074444
26.583504, 61.715115, 57.739590
26.570152, 61.641872, 57.714005
26.570152, 61.365681, 57.202354
