temperature, humidity, moisture 
26.498055, 56.427860, 56.920952
26.527428, 56.522472, 56.588379
26.556801, 56.481274, 57.586098
26.540779, 56.620129, 64.544518
26.570152, 56.682690, 64.314278
26.556801, 56.723888, 56.358135
26.570152, 56.682690, 56.818623
26.570152, 56.835278, 56.383720
26.583504, 56.879532, 55.539497
26.583504, 56.989395, 56.204643
26.626236, 56.844437, 56.434883
26.626236, 57.039749, 56.255810
26.612885, 57.013809, 56.358135
26.626236, 57.039749, 56.102318
26.612885, 57.036697, 57.304688
26.626236, 57.105362, 56.741871
26.626236, 57.135880, 54.951099
26.626236, 57.082474, 57.688423
26.639587, 57.282372, 56.793037
26.639587, 57.238121, 63.342144
26.639587, 57.261009, 57.048862
26.682312, 57.320518, 57.560513
26.668961, 57.286949, 56.486050
26.668961, 57.373924, 56.434883
26.682312, 57.320518, 57.279106
26.668961, 57.503624, 57.151196
26.652939, 57.434959, 55.948818
26.682312, 57.506676, 57.714005
26.695663, 57.563133, 56.102318
26.695663, 57.694363, 55.411583
26.682312, 57.506676, 53.211494
26.682312, 57.639431, 55.999981
